Var1_1,Var1_2,Var1_3
47.5,1251,0
43.5,1258,0
42.5,1260,0
42.5,1261,0
42.5,1262,0
42.5,1263,0
42.5,1264,0
42.5,1265,0
42.5,1266,0
42.5,1267,0
42.5,1268,0
42.5,1269,0
42.5,1270,0
42.5,1271,0
42.5,1272,0
42.5,1273,0
42.5,1274,0
42.5,1275,0
42.5,1276,0
42.5,1277,0
42.5,1278,0
42.5,1279,0
42.5,1280,0
42.5,1281,0
42.5,1282,0
42.5,1283,0
42.5,1284,0
42.5,1285,0
42.5,1286,0
42.5,1287,0
42.5,1288,0
42.5,1289,0
42.5,1290,0
42.5,1291,0
42.5,1292,0
42.5,1293,0
42.5,1294,0
44.5,1310,0
47.5,1319,0
48.5,1321,0
72.5,1354,0
75.5,1358,0
76,1358.5,0
76.5,1359,0
77,1359.5,0
77.5,1360,0
78,1360.5,0
78.5,1361,0
79,1361.5,0
79.5,1362,0
80,1362.5,0
80.5,1363,0
81,1363.5,0
81.5,1364,0
82,1364.5,0
82.5,1365,0
83,1365.5,0
83.5,1366,0
84,1366.5,0
84.5,1367,0
85,1367.5,0
85.5,1368,0
86,1368.5,0
86.5,1369,0
87,1369.5,0
87.5,1370,0
88,1370.5,0
88.5,1371,0
89,1371.5,0
89.5,1372,0
90,1372.5,0
90.5,1373,0
91,1373.5,0
112,1392.5,0
114,1393.5,0
115,1393.5,0
116,1393.5,0
117,1393.5,0
118,1393.5,0
119,1393.5,0
120,1393.5,0
121,1393.5,0
122,1393.5,0
123,1393.5,0
124,1393.5,0
125,1393.5,0
126,1393.5,0
127,1393.5,0
128,1393.5,0
129,1393.5,0
130,1393.5,0
131,1393.5,0
132,1393.5,0
133,1393.5,0
134,1393.5,0
135,1393.5,0
136,1393.5,0
137,1393.5,0
138,1393.5,0
155,1391.5,0
157,1390.5,0
170,1383.5,0
170.5,1383,0
171,1382.5,0
171.5,1382,0
172,1381.5,0
172.5,1381,0
173,1380.5,0
173.5,1380,0
174,1379.5,0
174.5,1379,0
175,1378.5,0
175.5,1378,0
176,1377.5,0
176.5,1377,0
177,1376.5,0
177.5,1376,0
178,1375.5,0
